Distrito  Município	Freguesia	Nª Hab.	Área (ha)                 
-----------------------------------------------------------     
Aveiro    Águeda    Agadão    496    3 534
Aveiro    Águeda    Aguada de Baixo    1 699     388
Aveiro    Águeda    Aguada de Cima    3 952     2 755
Aveiro    Águeda    Agueda    11 357     2 761
Aveiro    Águeda    Barrô    2 040     647
Aveiro    Águeda    Belazaima do Chão    588    2 009
Aveiro    Águeda    Borralha    2 221     925
Aveiro    Águeda    Castanheira do Vouga    708    3 441
Aveiro    Águeda    Espinhel    2 799     1 195
Aveiro    Águeda    Fermentelos    3 148     829
Aveiro    Águeda    Lamas do Vouga    760    376
Aveiro    Águeda    Macieira de Alcoba    110    939
Aveiro    Águeda    Macinhata do Vouga    3 581     3 298
Aveiro    Águeda    Óis da Ribeira    722    369
Aveiro    Águeda    Préstimo    921    3 178
Aveiro    Águeda    Recardães    3 321     772
Aveiro    Águeda    Segadães    1 205     338
Aveiro    Águeda    Travassô    1 727     816
Aveiro    Águeda    Trofa    2 680     819
Aveiro    Águeda    Valongo do Vouga    5 006     3 961 
Aveiro    Albergaria-a-Velha    Albergaria-a-Velha    7 421     2 677
Aveiro    Albergaria-a-Velha    Alquerubim    2 390     1 544
Aveiro    Albergaria-a-Velha    Angeja    2 320     2 108
Aveiro    Albergaria-a-Velha    Branca    5 500     3 022
Aveiro    Albergaria-a-Velha    Frossos    964    795
Aveiro    Albergaria-a-Velha    Ribeira de Fráguas    1 869     2 577
Aveiro    Albergaria-a-Velha    S. João de Loure    2 152     1 090
Aveiro    Albergaria-a-Velha    Valmaior    2 022     1 785 
Aveiro    Anadia    Aguim    1 227     682
Aveiro    Anadia    Amoreira da Gândara    1 379     856
Aveiro    Anadia    Ancas    757    634
Aveiro    Anadia    Arcos    5 533     1 202
Aveiro    Anadia    Avelãs de Caminho    1 236     627
Aveiro    Anadia    Avelãs de Cima    2 446     4 088
Aveiro    Anadia    Mogofores    875    232
Aveiro    Anadia    Moita    2 733     3 399
Aveiro    Anadia    Óis do Bairro    517    359
Aveiro    Anadia    Paredes do Bairro    1 092     673
Aveiro    Anadia    Sangalhos    4 350     1 724
Aveiro    Anadia    S. Lourenço do Bairro    2 553     1 495
Aveiro    Anadia    Tamengos    1 623     836
Aveiro    Anadia    Vila Nova de Monsarros    2 001     2 361
Aveiro    Anadia    Vilarinho do Bairro    3 224     2 545 
Aveiro    Arouca    Albergaria da Serra    140    1 472
Aveiro    Arouca    Alvarenga    1 368     3 933
Aveiro    Arouca    Arouca    3 098     511
Aveiro    Arouca    Burgo    2 067     538
Aveiro    Arouca    Cabreiros    186    1 654
Aveiro    Arouca    Canelas    864    2 089
Aveiro    Arouca    Chave    1 414     1 076
Aveiro    Arouca    Covelo de Paivó    169    2 748
Aveiro    Arouca    Escariz    2 255     1 471
Aveiro    Arouca    Espiunca    477    1 468
Aveiro    Arouca    Fermedo    1 504     1 505
Aveiro    Arouca    Janarde    159    1 746
Aveiro    Arouca    Mansores    1 155     1 512
Aveiro    Arouca    Moldes    1 477     2 756
Aveiro    Arouca    Rossas    1 693     1 623
Aveiro    Arouca    Sta. Eulália    2 340     1 831
Aveiro    Arouca    S. Miguel do Mato    800    2 734
Aveiro    Arouca    Tropeço    1 297     940
Aveiro    Arouca    Urrô    1 206     1 018
Aveiro    Arouca    Várzea    559    174
Aveiro    Aveiro    Aradas    7 628     903
Aveiro    Aveiro    Cacia    7 006     3 736
Aveiro    Aveiro    Eirol    781    440
Aveiro    Aveiro    Eixo    5 253     1 580
Aveiro    Aveiro    Esgueira    12 262     1 772
Aveiro    Aveiro    Glória    9 917     680
Aveiro    Aveiro    Nariz    1 467     935
Aveiro    Aveiro    N. S. de Fátima    1 870     1 244
Aveiro    Aveiro    Oliveirinha    4 780     1 366
Aveiro    Aveiro    Requeixo    1 198     1 180
Aveiro    Aveiro    Sta. Joana    7 426     561
Aveiro    Aveiro    S. Bernardo    4 079     398
Aveiro    Aveiro    S. Jacinto    1 016     1 302
